company_name,post_title
Link Arabia Overseas Employment & Manpower Provider Company,Room Attendant
Fisheries Development Board,Chief Executive Officer
Fisheries Development Board,Chief Executive Officer
Fisheries Development Board,Chief Executive Officer
The Friends Overseas Services,Qc Civil Engineer
Pakistan Based Company,Munshi
Punjab Grammar School,Teacher
Al Ahdaf Recruitment Overseas Employment Promoters,Steel Fixer
Fisheries Development Board,Assistant Director
National Rural Support Programme,Application Development
National Rural Support Programme,Database Administrator
National Rural Support Programme,Application Development
National Rural Support Programme,Database Administrator
Military Engineer Services,Rte Staff
Pakistan Army,Commissioned Officer
Urwa Manpower Bureau Overseas Employment Promoters,Sign Install
Al Tayyar Manpower Overseas Employment Promoters,Shuttering Carpenter
Gulf Job Hunts Manpower Services,Airport Loader
National Logistics Cell,Tralla Driver
Luna Corporation,Photo Copier Teechnician
Pakistan Army,Mess Waiter
Lahore Garrison Education System,Section Head
Capital Development Authority,Assistant Director
Capital Development Authority,Town Planner
Army Public School,Lab Assistant
Capital Development Authority,Director
Capital Development Authority,Deputy Director
District Health Authority,Driver
National Testing Service,Binder
Pakistan Army,Boot Repair
Agriculture Department,Vice Chancellor
Bahria University,Dean
Defence Housing Authority,Animals & Bird Nutritionist
Pakistani School Ajman,Subject Teacher
Hameed Latif Hospital,Senior Registrar
Multinational Company,Quality Assurance
Military Engineer Services,Charge Hand
Pakistan Agricultural Research Council,Assistant Executive Engineer
Elite Engineering Private Limited,Project Manager
Fast National University Of Computer & Emerging Sciences,Technician
Fast National University Of Computer & Emerging Sciences,Assistant
Fisheries Development Board,Assistant Director
Lahore Garrison Education System,Principal
Public Sector Organization,Assistant Private Secretary
Public Sector Organization,Senior Caretaker
Pakistan Army,Commissioned Officer
Fisheries Development Board,Chief Executive Officer
Cmh Multan Institute Of Medical Sciences,Assistant Professor
Cmh Multan Institute Of Medical Sciences,Demonstrator
Defence Housing Authority,Deputy Director
Lahore Garrison Education System,Principal
Army Public School,Teacher
Army Public School,Lab Assistant
Capital Development Authority,Assistant Accounts
Capital Development Authority,Junior Computer Operator
Heavy Industries Taxila Board,Dental Officer
Heavy Industries Taxila Board,Assistant Works Manager
Heavy Industries Taxila Board,Assistant
Heavy Industries Taxila Board,Supervisor
The Bank Of Khyber,Batch Trainee Officer
Hr Outsourcing & Consulting Private Limited,Security Guard
Capital Development Authority,Revenue Officer
Capital Development Authority,Network Assistant
Heavy Industries Taxila Board,Senior Specialist
Heavy Industries Taxila Board,Specialist
Allied School,Teacher
Capital Development Authority,Autocad Operator
Capital Development Authority,Assistant
Lahore Garrison Education System,Principal
